PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap
38762,65473P10,NI,21244,2021-01-29,22.150000,8488145.80
38762,65473P10,NI,21244,2021-02-26,21.600000,8464176.00
38762,65473P10,NI,21244,2021-03-31,24.110000,9447744.60
38762,65473P10,NI,21244,2021-04-30,26.020000,10203222.60
38762,65473P10,NI,21244,2021-05-28,25.500000,10001533.50
38762,65473P10,NI,21244,2021-06-30,24.500000,9609316.50
38762,65473P10,NI,21244,2021-07-30,24.770000,9715215.09
38762,65473P10,NI,21244,2021-08-31,24.650000,9672906.50
38762,65473P10,NI,21244,2021-09-30,24.230000,9508094.30
38762,65473P10,NI,21244,2021-10-29,24.670000,9680754.70
38762,65473P10,NI,21244,2021-11-30,24.510000,9625199.55
38762,65473P10,NI,21244,2021-12-31,27.610000,10842585.05
38762,65473P10,NI,21244,2022-01-31,29.180000,11459131.90
38762,65473P10,NI,21244,2022-02-28,28.930000,11727788.05
38762,65473P10,NI,21244,2022-03-31,31.800000,12891243.00
38762,65473P10,NI,21244,2022-04-29,29.120000,11814974.08
38762,65473P10,NI,21244,2022-05-31,31.450000,12762347.10
38762,65473P10,NI,21244,2022-06-30,29.490000,11966983.02
38762,65473P10,NI,21244,2022-07-29,30.400000,12336259.20
38762,65473P10,NI,21244,2022-08-31,29.510000,11979673.03
38762,65473P10,NI,21244,2022-09-30,25.190000,10225956.07
38762,65473P10,NI,21244,2022-10-31,25.690000,10428932.57
38762,65473P10,NI,21244,2022-11-30,27.940000,11347383.96
38762,65473P10,NI,21244,2022-12-30,27.420000,11136194.28
38762,65473P10,NI,21244,2023-01-31,27.750000,11270218.50
38762,65473P10,NI,21244,2023-02-28,27.430000,11140255.62
38762,65473P10,NI,21244,2023-03-31,27.960000,11533723.68
38762,65473P10,NI,21244,2023-04-28,28.460000,11739977.68
38762,65473P10,NI,21244,2023-05-31,26.890000,11107264.07
38762,65473P10,NI,21244,2023-06-30,27.350000,11297273.05
38762,65473P10,NI,21244,2023-07-31,27.840000,11499673.92
38762,65473P10,NI,21244,2023-08-31,26.760000,11058703.80
38762,65473P10,NI,21244,2023-09-29,24.680000,10199133.40
38762,65473P10,NI,21244,2023-10-31,25.160000,10397495.80
38762,65473P10,NI,21244,2023-11-30,25.640000,10599960.60
39490,03743Q10,APA,20204,2013-12-31,85.940000,34310341.84
39490,03743Q10,APA,20204,2014-01-31,80.260000,32042681.36
39490,03743Q10,APA,20204,2014-02-28,79.290000,31297745.25
39490,03743Q10,APA,20204,2014-03-31,82.950000,32742438.75
39490,03743Q10,APA,20204,2014-04-30,86.800000,34180104.00
39490,03743Q10,APA,20204,2014-05-30,93.220000,35955420.10
39490,03743Q10,APA,20204,2014-06-30,100.620000,38809637.10
39490,03743Q10,APA,20204,2014-07-31,102.660000,39596475.30
39490,03743Q10,APA,20204,2014-08-29,101.830000,38947225.59
39490,03743Q10,APA,20204,2014-09-30,93.870000,35902740.51
39490,03743Q10,APA,20204,2014-10-31,77.200000,29526915.60
39490,03743Q10,APA,20204,2014-11-28,64.090000,24128731.38
39490,03743Q10,APA,20204,2014-12-31,62.670000,23594126.94
39490,03743Q10,APA,20204,2015-01-30,62.570000,23556478.74
39490,03743Q10,APA,20204,2015-02-27,65.840000,24821680.00
39490,03743Q10,APA,20204,2015-03-31,60.330000,22733731.59
39490,03743Q10,APA,20204,2015-04-30,68.400000,25776950.40
39490,03743Q10,APA,20204,2015-05-29,59.840000,22565364.80
39490,03743Q10,APA,20204,2015-06-30,57.630000,21731984.85
39490,03743Q10,APA,20204,2015-07-31,45.860000,17293576.70
39490,03743Q10,APA,20204,2015-08-31,45.240000,17100131.88
39490,03743Q10,APA,20204,2015-09-30,39.160000,14801970.92
39490,03743Q10,APA,20204,2015-10-30,47.130000,17814527.31
39490,03743Q10,APA,20204,2015-11-30,49.180000,18590728.52
39490,03743Q10,APA,20204,2015-12-31,44.470000,16810282.58
39490,03743Q10,APA,20204,2016-01-29,42.540000,16080715.56
39490,03743Q10,APA,20204,2016-02-29,38.280000,14481247.44
39490,03743Q10,APA,20204,2016-03-31,48.810000,18475219.53
39490,03743Q10,APA,20204,2016-04-29,54.400000,20591107.20
39490,03743Q10,APA,20204,2016-05-31,57.140000,21629432.76
39490,03743Q10,APA,20204,2016-06-30,55.670000,21072987.78
39490,03743Q10,APA,20204,2016-07-29,52.500000,19873035.00
39490,03743Q10,APA,20204,2016-08-31,49.700000,18857323.10
39490,03743Q10,APA,20204,2016-09-30,63.870000,24233747.01
39490,03743Q10,APA,20204,2016-10-31,59.480000,22568080.04
39490,03743Q10,APA,20204,2016-11-30,65.950000,25023342.55
39490,03743Q10,APA,20204,2016-12-30,63.470000,24082358.63
39490,03743Q10,APA,20204,2017-01-31,59.820000,22697442.78
39490,03743Q10,APA,20204,2017-02-28,52.590000,19967739.33
39490,03743Q10,APA,20204,2017-03-31,51.390000,19547214.30
39490,03743Q10,APA,20204,2017-04-28,48.640000,18501196.80
39490,03743Q10,APA,20204,2017-05-31,46.760000,17789234.12
39490,03743Q10,APA,20204,2017-06-30,47.930000,18234345.41
39490,03743Q10,APA,20204,2017-07-31,49.480000,18848614.32
39490,03743Q10,APA,20204,2017-08-31,38.840000,14795476.56
39490,03743Q10,APA,20204,2017-09-29,45.800000,17446777.20
39490,03743Q10,APA,20204,2017-10-31,41.370000,15759239.58
39490,03743Q10,APA,20204,2017-11-30,41.830000,15934845.69
39490,03743Q10,APA,20204,2017-12-29,42.220000,16083413.46
39490,03743Q10,APA,20204,2018-01-31,44.870000,17092912.41
39490,03743Q10,APA,20204,2018-02-28,34.150000,13026449.20
39490,03743Q10,APA,20204,2018-03-29,38.480000,14678119.04
39490,03743Q10,APA,20204,2018-04-30,40.950000,15648919.65
39490,03743Q10,APA,20204,2018-05-31,40.000000,15286160.00
39490,03743Q10,APA,20204,2018-06-29,46.750000,17865699.50
39490,03743Q10,APA,20204,2018-07-31,46.000000,17579084.00
39490,03743Q10,APA,20204,2018-08-31,43.830000,16764361.38
39490,03743Q10,APA,20204,2018-09-28,47.670000,18233107.62
39490,03743Q10,APA,20204,2018-10-31,37.830000,14469445.38
39490,03743Q10,APA,20204,2018-11-30,35.130000,13333380.72
39490,03743Q10,APA,20204,2018-12-31,26.250000,9963030.00
39490,03743Q10,APA,20204,2019-01-31,32.820000,12456634.08
39490,03743Q10,APA,20204,2019-02-28,33.180000,12442500.00
39490,03743Q10,APA,20204,2019-03-29,34.660000,13011571.96
39490,03743Q10,APA,20204,2019-04-30,32.910000,12371099.37
39490,03743Q10,APA,20204,2019-05-31,26.070000,9800260.47
39490,03743Q10,APA,20204,2019-06-28,28.970000,10890431.37
39490,03743Q10,APA,20204,2019-07-31,24.420000,9179990.82
39490,03743Q10,APA,20204,2019-08-30,21.570000,8109435.63
39490,03743Q10,APA,20204,2019-09-30,25.600000,9624550.40
39490,03743Q10,APA,20204,2019-10-31,21.660000,8144939.76
39490,03743Q10,APA,20204,2019-11-29,22.280000,8378082.08
39490,03743Q10,APA,20204,2019-12-31,25.590000,9622761.24
39490,03743Q10,APA,20204,2020-01-31,27.440000,10318427.84
39490,03743Q10,APA,20204,2020-02-28,24.920000,9402714.72
39490,03743Q10,APA,20204,2020-03-31,4.180000,1577180.88
39490,03743Q10,APA,20204,2020-04-30,13.080000,4936627.44
39490,03743Q10,APA,20204,2020-05-29,10.790000,4072426.54
39490,03743Q10,APA,20204,2020-06-30,13.500000,5095683.00
39490,03743Q10,APA,20204,2020-07-31,15.350000,5793995.65
39490,03743Q10,APA,20204,2020-08-31,14.800000,5586393.20
39490,03743Q10,APA,20204,2020-09-30,9.470000,3574546.20
39490,03743Q10,APA,20204,2020-10-30,8.300000,3133067.40
39490,03743Q10,APA,20204,2020-11-30,12.890000,4865691.42
39490,03743Q10,APA,20204,2020-12-31,14.190000,5356483.77
39490,03743Q10,APA,20204,2021-01-29,14.280000,5395855.08
39490,03743Q10,APA,20204,2021-02-26,19.730000,7457288.91
39490,03743Q10,APA,20204,2021-03-31,17.900000,6765716.70
39490,03743Q10,APA,20204,2021-04-30,20.000000,7559460.00
39490,03743Q10,APA,20204,2021-05-28,20.800000,7861838.40
39490,03743Q10,APA,20204,2021-06-30,21.630000,8176507.71
39490,03743Q10,APA,20204,2021-07-30,18.750000,7087912.50
39490,03743Q10,APA,20204,2021-08-31,19.480000,7363868.56
39490,03743Q10,APA,20204,2021-09-30,21.430000,8101011.46
39490,03743Q10,APA,20204,2021-10-29,26.210000,9521411.54
39490,03743Q10,APA,20204,2021-11-30,25.770000,9361570.98
39490,03743Q10,APA,20204,2021-12-31,26.890000,9328974.59
39490,03743Q10,APA,20204,2022-01-31,33.210000,11516430.96
39490,03743Q10,APA,20204,2022-02-28,35.630000,12361009.01
39490,03743Q10,APA,20204,2022-03-31,41.330000,14064722.99
39490,03743Q10,APA,20204,2022-04-29,40.930000,13843835.76
39490,03743Q10,APA,20204,2022-05-31,47.010000,15900286.32
39490,03743Q10,APA,20204,2022-06-30,34.900000,11635450.60
39490,03743Q10,APA,20204,2022-07-29,37.170000,12137120.10
39490,03743Q10,APA,20204,2022-08-31,39.110000,12770588.30
39490,03743Q10,APA,20204,2022-09-30,34.190000,11062926.68
39490,03743Q10,APA,20204,2022-10-31,45.460000,14615935.52
39490,03743Q10,APA,20204,2022-11-30,46.850000,15062837.20
39490,03743Q10,APA,20204,2022-12-30,46.680000,14543574.12
39490,03743Q10,APA,20204,2023-01-31,44.330000,13784546.49
39490,03743Q10,APA,20204,2023-02-28,38.380000,11937983.86
39490,03743Q10,APA,20204,2023-03-31,36.060000,11128079.94
39490,03743Q10,APA,20204,2023-04-28,36.850000,11371873.15
39490,03743Q10,APA,20204,2023-05-31,31.780000,9807276.22
39490,03743Q10,APA,20204,2023-06-30,34.170000,10499245.05
39490,03743Q10,APA,20204,2023-07-31,40.490000,12441159.85
39490,03743Q10,APA,20204,2023-08-31,43.840000,13470497.60
39490,03743Q10,APA,20204,2023-09-29,41.100000,12609315.60
39490,03743Q10,APA,20204,2023-10-31,39.720000,12182878.68
39490,03743Q10,APA,20204,2023-11-30,36.000000,11041884.00
39538,57708110,MAT,21168,2013-12-31,47.580000,16143894.00
39538,57708110,MAT,21168,2014-01-31,37.840000,12839112.00
39538,57708110,MAT,21168,2014-02-28,37.310000,12698868.91
39538,57708110,MAT,21168,2014-03-31,40.110000,13625367.00
39538,57708110,MAT,21168,2014-04-30,39.215000,13303767.18
39538,57708110,MAT,21168,2014-05-30,38.830000,13173155.16
